product_title,category_label,number_of_views,merchant_rating,listing_date,title_word_count,title_char_count,longest_word_length
apple iphone 7 plus 32 gb rose gold,Mobile Phones,975.0,2.8,2024-09-02,8,35,6
apple iphone 7 plus 32gb rose gold,Mobile Phones,1806.0,4.1,2022-07-09,7,34,6
apple iphone 7 plus 32gb silver,Mobile Phones,189.0,1.8,2024-08-15,6,31,6
apple iphone 7 plus silver 32gb 4g unlocked sim free,Mobile Phones,2734.0,3.1,2023-11-18,10,52,8
apple iphone 7 plus silver 32gb 4g unlocked sim free,Mobile Phones,3005.0,3.4,2024-08-15,10,52,8
apple iphone 7 plus jet black 32 gb,Mobile Phones,4658.0,1.2,2023-07-17,8,35,6
apple iphone 7 plus 32gb silver,Mobile Phones,1899.0,3.4,2024-04-11,6,31,6
apple iphone 7 plus 32gb black,Mobile Phones,1267.0,1.7,2023-10-09,6,30,6
apple iphone 7 plus 32gb black,Mobile Phones,1528.0,1.3,2022-01-21,6,30,6
apple iphone 7 plus 5.5 single sim 4g 3gb 32gb 2900mah silver,Mobile Phones,3202.0,4.8,2024-04-20,12,61,7
iphone 7 plus 32gb black,Mobile Phones,3556.0,4.9,2022-06-16,5,24,6
sim free iphone 7 plus 32gb by apple black,Mobile Phones,3890.0,4.2,2023-01-23,9,42,6
apple iphone 7 plus 5.5 single sim 4g 3gb 32gb 2900mah pink gold,Mobile Phones,646.0,2.2,2023-08-24,13,64,7
apple iphone 7 plus 32gb schwarz smartphone,Mobile Phones,2888.0,1.4,2022-11-12,7,43,10
apple iphone 7 plus rose gold 5.5 32gb 4g unlocked sim free,Mobile Phones,2435.0,3.7,2022-01-14,12,59,8
sim free iphone 7 plus 32gb mobile phone silver,Mobile Phones,600.0,2.8,2022-08-30,9,47,6
apple iphone 7 plus 5.5 inch multi touch 32gb wlan wwan bluetooth c,Mobile Phones,2363.0,1.5,2024-02-16,13,67,9
apple iphone 7 plus 32gb rosegold 3 brand new,Mobile Phones,2061.0,3.0,2023-07-19,9,45,8
iphone 7 plus 32gb silver,Mobile Phones,241.0,1.1,2024-06-16,5,25,6
apple iphone 7 plus,Mobile Phones,2041.0,4.6,2022-04-02,4,19,6
iphone 7 plus 32gb rose gold mnqq2b/a wc01,Mobile Phones,2824.0,2.0,2024-08-13,8,42,8
apple grade b iphone 7 32gb gold handset only,Mobile Phones,2612.0,3.7,2023-05-24,9,45,7
grade b apple iphone 7 32gb silver handset only,Mobile Phones,1363.0,2.2,2024-02-15,9,47,7
apple mn8x2b/a iphone 7 32gb 4.7 12mp sim free smartphone in black,Mobile Phones,1478.0,3.1,2022-02-04,12,66,10
apple iphone 7 32 gb matt schwarz,Mobile Phones,2556.0,3.2,2022-07-25,7,33,7
iphone 7 32gb gold,Mobile Phones,775.0,1.7,2024-10-22,4,18,6
apple iphone 7 black 32 gb,Mobile Phones,4014.0,4.9,2024-10-18,6,26,6
apple iphone 7 32gb silver,Mobile Phones,34.0,4.1,2023-07-20,5,26,6
apple iphone 7 32gb black,Mobile Phones,3152.0,4.8,2023-12-04,5,25,6
apple iphone 7 32gb silver unlocked,Mobile Phones,1955.0,4.6,2023-02-06,6,35,8
apple iphone 7 32gb rose gold unlocked,Mobile Phones,1585.0,3.4,2023-12-31,7,38,8
apple iphone 7 32gb schwarz smartphone,Mobile Phones,3943.0,4.7,2022-06-11,6,38,10
apple iphone 7 32gb gold,Mobile Phones,3073.0,1.4,2022-07-21,5,24,6
apple iphone 7 black 4.7 32gb 4g unlocked sim free,Mobile Phones,1021.0,1.8,2024-09-22,10,50,8
apple iphone 7 4.7 single sim 4g 2gb 32gb 1960mah gold,Mobile Phones,3461.0,1.2,2022-09-27,11,54,7
apple iphone 7 4.7 single sim 4g 2gb 32gb 1960mah black,Mobile Phones,2613.0,2.3,2024-03-26,11,55,7
sim free iphone 7 32gb mobile phone jet black,Mobile Phones,3843.0,2.6,2023-04-01,9,45,6
apple iphone 7 11.9 cm 4.7 32 gb 12 mp ios 10 black,Mobile Phones,1500.0,2.1,2024-10-13,13,51,6
apple iphone 7 32gb jet black,Mobile Phones,4798.0,4.3,2022-10-23,6,29,6
apple iphone 7 32gb silver unlocked brand new,Mobile Phones,161.0,2.4,2023-12-21,8,45,8
iphone 7 32gb black,Mobile Phones,4297.0,2.1,2022-12-04,4,19,6
apple iphone 7,Mobile Phones,1981.0,3.2,2024-05-28,3,14,6
iphone 7 32gb black mn8x2b/a wc01,Mobile Phones,995.0,1.6,2024-12-12,6,33,8
startech.com usb c to hdmi multi monitor adapter 3 port mst hub usb type c to hdmi monitor splitter usb 3.1 type c black,Mobile Phones,3342.0,1.3,2022-08-05,24,120,12
grade b apple iphone 8 64gb gold handset only,Mobile Phones,4551.0,4.9,2024-02-03,9,45,7
grade b apple iphone 8 64gb gold handset only,Mobile Phones,3798.0,4.1,2022-07-07,9,45,7
apple iphone 8 64gb space grey,Mobile Phones,1275.0,1.8,2023-01-15,6,30,6
apple iphone 8 smartphone 64gb 4.7 zoll spacegrau,Mobile Phones,1016.0,1.0,2023-05-08,8,49,10
apple iphone 8 64 gb silber,Mobile Phones,337.0,4.3,2024-11-30,6,27,6
apple iphone 8 64gb schwarz smartphone,Mobile Phones,878.0,3.8,2022-01-15,6,38,10
apple iphone 8 space grey 4.7 64gb 4g unlocked sim free,Mobile Phones,1076.0,3.9,2022-03-06,11,55,8
apple iphone 8 64 gb space grey,Mobile Phones,4887.0,4.1,2023-06-05,7,31,6
apple iphone 8 64gb gold,Mobile Phones,3993.0,1.3,2023-10-10,5,24,6
apple iphone 8 64gb gold,Mobile Phones,4859.0,2.4,2024-12-22,5,24,6
apple iphone 8 64gb space grey,Mobile Phones,379.0,1.5,2023-08-16,6,30,6
apple iphone 8 64gb space grey,Mobile Phones,492.0,4.5,2023-01-27,6,30,6
apple iphone 8 4.7 single sim 4g 64gb silver,Mobile Phones,2062.0,3.5,2023-02-23,9,44,6
apple iphone 8 4.7 single sim 4g 64gb grey,Mobile Phones,3884.0,2.3,2022-10-16,9,42,6
apple iphone 8 64 gb spaceship grey,Mobile Phones,64.0,1.3,2023-01-14,7,35,9
apple iphone 8 4.7 inch multi touch retina hd display 64gb wlan wwa,Mobile Phones,2568.0,2.2,2022-08-19,13,67,7
iphone 8 64gb space grey,Mobile Phones,2027.0,2.3,2024-10-14,5,24,6
apple iphone 8,Mobile Phones,2695.0,3.9,2022-02-10,3,14,6
sim free iphone 8 64gb mobile phone space grey,Mobile Phones,1495.0,3.6,2024-11-17,9,46,6
apple mq6g2b/a 4.7 iphone 8 64gb space grey in stock uk spec stock,Mobile Phones,391.0,4.5,2022-05-15,13,66,8
apple iphone x 64gb space grey,Mobile Phones,4514.0,2.9,2022-07-20,6,30,6
apple mqac2b/a iphone x 64gb 4.8 12mp sim free smartphone in space grey,Mobile Phones,4474.0,1.5,2024-02-19,13,71,10
apple iphone x 64 gb spacegrau,Mobile Phones,3561.0,3.9,2024-07-18,6,30,9
apple iphone x 14.7 cm 5.8 64 gb single sim 4g grey,Mobile Phones,2278.0,4.0,2024-11-22,12,51,6
apple iphone x 64gb grau smartphone,Mobile Phones,3099.0,3.2,2024-12-07,6,35,10
apple iphone x 64 gb silver,Mobile Phones,200.0,4.1,2023-05-18,6,27,6
apple iphone x space grey 5.8 64gb 4g unlocked sim free,Mobile Phones,4875.0,3.0,2023-02-11,11,55,8
apple iphone x space grey 5.8 64gb 4g unlocked sim free,Mobile Phones,3104.0,3.1,2024-03-15,11,55,8
iphone x 64gb silver,Mobile Phones,4598.0,2.7,2022-04-09,4,20,6
apple iphone x 64 gb silver,Mobile Phones,2454.0,1.1,2023-11-15,6,27,6
apple iphone x 64gb space grey,Mobile Phones,3645.0,1.4,2023-12-27,6,30,6
apple iphone x 64gb silver,Mobile Phones,804.0,1.1,2024-08-18,5,26,6
iphone x 64gb space grey,Mobile Phones,2731.0,3.5,2023-09-05,5,24,6
apple iphone x 5.8 single sim 4g 64gb silver,Mobile Phones,2773.0,2.3,2023-10-05,9,44,6
apple iphone x silver 5.8 64gb 4g unlocked sim free,Mobile Phones,1570.0,3.0,2024-10-25,10,51,8
apple iphone iphone x 14.7 cm 5.8 64 gb 12 mp ios 11 silver,Mobile Phones,2690.0,4.6,2023-05-18,14,59,6
apple iphone x 64gb silver solo unlocked,Mobile Phones,3840.0,2.0,2024-02-06,7,40,8
sim free iphone x 64gb mobile phone silver,Mobile Phones,1028.0,2.6,2023-02-02,8,42,6
apple iphone x smartphone 4g lte advanced 64 gb gsm 5.8 2436 x 1125 pixels 458 ppi super retina hd 12 mp 7 mp front camera space grey mqac2b/a c2000,Mobile Phones,502.0,4.0,2024-05-20,30,148,10
apple iphone x,Mobile Phones,4493.0,1.9,2024-03-05,3,14,6
apple mqad2b/a 5.8 iphone x 64gb silver in stock uk spec stock,Mobile Phones,870.0,1.3,2023-01-28,12,62,8
grade a samsung galaxy s8 pink 5.8 64gb 4g unlocked sim free,Mobile Phones,4488.0,2.2,2022-07-26,12,60,8
samsung galaxy s8 sm g950f 64gb sim free smartphone midnight black,Mobile Phones,206.0,1.6,2024-11-04,11,66,10
samsung galaxy s8 g950f 64gb lte midnight black,Mobile Phones,1484.0,4.7,2024-06-10,8,47,8
samsung galaxy s8 sm g950f 14.7 cm 5.8 4 gb 64 gb 4g black 3000 mah,Mobile Phones,863.0,4.2,2024-05-13,16,67,7
samsung galaxy s8 64gb midnight black,Mobile Phones,2790.0,3.5,2024-01-13,6,37,8
samsung galaxy s8 artic silver 5.8 64gb 4g unlocked sim free,Mobile Phones,563.0,4.5,2023-07-18,11,60,8
samsung galaxy s8 midnight black 5.8 64gb 4g unlocked sim free,Mobile Phones,4191.0,4.2,2024-10-17,11,62,8
samsung galaxy s8 g9500 4gb ram 64gb rom dual sim orchid gray,Mobile Phones,1757.0,1.7,2022-04-06,12,61,7
samsung galaxy s8 64gb eu smartphone,Mobile Phones,1678.0,4.6,2023-04-30,6,36,10
samsung galaxy s8 single sim 64gb android uk version sim free smartphone midnight black with samsung original level box slim wireless portable bluetooth speaker,Mobile Phones,3242.0,3.2,2022-08-19,24,160,10
samsung galaxy s8 midnight black,Mobile Phones,4636.0,4.2,2024-01-19,5,32,8
5.8 infinity display dual camera octa core 4gb ram 64gb 3000,Mobile Phones,1059.0,4.6,2023-06-25,11,60,8
samsung galaxy s8 64 gb orchid grey,Mobile Phones,1722.0,2.3,2024-11-25,7,35,7
samsung mobile galaxy s8 series mobile phone in black,Mobile Phones,3314.0,1.4,2023-06-09,9,53,7
samsung galaxy s8 sm g950f 14.7 cm 5.8 4 gb 64 gb single sim 4g,Mobile Phones,3157.0,1.9,2023-08-01,15,63,7
samsung sm g950fzkabtu galaxy s8 64gb in midnight black,Mobile Phones,2625.0,2.7,2023-11-13,9,55,11
samsung 64gb black galaxy s8 sm g950fzkabtu,Mobile Phones,2729.0,4.3,2023-07-11,7,43,11
sim free galaxy s8 64gb by samsung black,Mobile Phones,1597.0,4.4,2024-10-09,8,40,7
samsung galaxy s8 sm g950f 14.7 cm 5.8 64 gb 12 mp android 7,Mobile Phones,3060.0,1.0,2023-10-08,14,60,7
samsung galaxy s8,Mobile Phones,2693.0,3.0,2024-03-06,3,17,7
sim free samsung galaxy s8 64gb mobile phone black,Mobile Phones,4891.0,2.7,2024-11-17,9,50,7
apple mqaf2b/a iphone x 256gb 4.8 12mp sim free smartphone in space grey,Mobile Phones,3627.0,1.9,2022-07-09,13,72,10
apple iphone x 256 gb spacegrau,Mobile Phones,1363.0,1.5,2023-09-25,6,31,9
apple iphone x 256gb silver,Mobile Phones,1981.0,2.4,2023-09-20,5,27,6
apple iphone x 256 gb spaceship grey,Mobile Phones,1663.0,4.8,2024-08-30,7,36,9
iphone x 256gb space grey,Mobile Phones,1529.0,2.3,2023-12-11,5,25,6
apple iphone x silver 5.8 256gb 4g unlocked sim free,Mobile Phones,2038.0,3.1,2023-10-11,10,52,8
apple iphone x silver 5.8 256gb 4g unlocked sim free,Mobile Phones,3302.0,3.8,2022-11-14,10,52,8
apple iphone x 256 gb silver,Mobile Phones,2237.0,2.5,2023-11-15,6,28,6
apple iphone x 256gb silver solo unlocked,Mobile Phones,1306.0,4.9,2023-10-26,7,41,8
apple iphone x silver 5.8 256gb 4g unlocked sim free,Mobile Phones,4029.0,4.8,2023-03-18,10,52,8
apple iphone x 256gb silver,Mobile Phones,2675.0,2.0,2023-07-18,5,27,6
apple iphone x 256gb silver,Mobile Phones,1282.0,3.0,2024-08-09,5,27,6
apple iphone x 256gb grau smartphone,Mobile Phones,709.0,2.2,2023-11-30,6,36,10
apple iphone x 5.8 single sim 4g 256gb silver,Mobile Phones,4744.0,2.1,2022-04-23,9,45,6
sim free iphone x 256gb by apple space grey,Mobile Phones,4413.0,1.1,2022-01-02,9,43,6
iphone x 256gb space grey,Mobile Phones,3748.0,3.4,2023-10-04,5,25,6
apple iphone x 5.8 single sim 4g 256gb silver,Mobile Phones,4779.0,3.0,2022-08-08,9,45,6
apple iphone iphone x 14.7 cm 5.8 256 gb 12 mp ios 11 silver,Mobile Phones,663.0,1.2,2024-05-04,14,60,6
sim free iphone x 256gb mobile phone space grey,Mobile Phones,1998.0,2.1,2023-01-20,9,47,6
apple iphone x 256gb space grey mqaf2b/a ad01,Mobile Phones,3445.0,4.6,2024-12-12,8,45,8
apple mqag2b/a 5.8 iphone x 256gb silver in stock uk spec stock,Mobile Phones,3743.0,2.0,2023-12-31,12,63,8
apple iphone 7 4.7 inch multi touch 128gb wlan wwan bluetooth camera fingerprint sensor ios10 rose gold,Mobile Phones,1495.0,1.6,2022-09-04,17,103,11
apple iphone 7 128gb black,Mobile Phones,3304.0,3.0,2024-04-15,5,26,6
apple iphone 7 rose gold 4.7 128gb 4g unlocked sim free,Mobile Phones,3763.0,4.9,2022-07-22,11,55,8
apple iphone 7 128gb gold smartphone,Mobile Phones,1853.0,2.0,2022-05-03,6,36,10
apple iphone 7 128gb rose gold,Mobile Phones,4659.0,3.7,2023-02-05,6,30,6
apple iphone 7 rose gold 4.7 128gb 4g unlocked sim free,Mobile Phones,1291.0,4.0,2024-02-06,11,55,8
apple iphone 7 128gb silver,Mobile Phones,3581.0,2.0,2022-10-21,5,27,6
apple iphone 7 128gb black unlocked,Mobile Phones,3457.0,3.9,2022-10-07,6,35,8
apple iphone 7 128gb black unlocked,Mobile Phones,1636.0,2.5,2024-06-02,6,35,8
apple iphone 7 128gb silver,Mobile Phones,3696.0,3.5,2022-07-17,5,27,6
iphone 7 128gb black,Mobile Phones,3152.0,3.1,2024-01-22,4,20,6
apple iphone 7 4.7 single sim 4g 2gb 128gb 1960mah pink gold,Mobile Phones,698.0,1.4,2022-05-24,12,60,7
apple iphone 7 128 gb diamant schwarz,Mobile Phones,2160.0,4.3,2023-09-01,7,37,7
apple iphone 7 128gb italia nero opaco,Mobile Phones,4097.0,2.3,2022-07-06,7,38,6
apple sim free iphone 7 water dust resistant 128gb silver,Mobile Phones,4737.0,1.7,2023-04-09,10,57,9
11.938 cm 4.7 1334 x 750 retina hd a10 m10 128gb touch id,Mobile Phones,854.0,1.2,2023-10-22,13,57,6
iphone 7 128gb silver,Mobile Phones,3474.0,3.4,2024-02-03,4,21,6
sim free iphone 7 128gb mobile phone jet black,Mobile Phones,1707.0,3.7,2024-08-12,9,46,6
iphone 7 128gb silver mn932b/a wc01,Mobile Phones,2777.0,1.1,2023-02-07,6,35,8
apple iphone 8 plus 256 gb silber,Mobile Phones,4931.0,1.9,2024-05-13,7,33,6
apple iphone 8 plus 256gb space grey,Mobile Phones,3510.0,3.6,2023-05-04,7,36,6
apple iphone 8 plus gold 5.5 256gb 4g unlocked sim free,Mobile Phones,202.0,1.7,2024-07-17,11,55,8
apple iphone 8 plus gold 5.5 256gb 4g unlocked sim free,Mobile Phones,3255.0,3.8,2023-07-05,11,55,8
apple iphone 8 plus 256 gb space grey,Mobile Phones,4218.0,2.5,2022-12-04,8,37,6
apple iphone 8 plus 256gb space grey,Mobile Phones,4496.0,4.7,2024-05-21,7,36,6
apple iphone 8 plus 256gb silver,Mobile Phones,766.0,1.6,2023-10-03,6,32,6
apple iphone 8 plus 256gb gold,Mobile Phones,4389.0,2.4,2023-04-18,6,30,6
apple iphone 8 plus 5.5 single sim 4g 256gb grey,Mobile Phones,2327.0,1.5,2022-05-31,10,48,6
apple telekom iphone 8 plus 256gb spacegrau unlocked,Mobile Phones,2931.0,4.7,2022-09-20,8,52,9
apple iphone 8 plus 256gb schwarz smartphone,Mobile Phones,1930.0,2.0,2022-12-12,7,44,10
apple iphone iphone 8 plus 14 cm 5.5 256 gb 12 mp ios 11 sil,Mobile Phones,3582.0,3.6,2023-09-16,15,60,6
iphone 8 plus 256gb gold,Mobile Phones,608.0,4.3,2024-10-13,5,24,6
sim free iphone 8 plus 256gb mobile phone space grey,Mobile Phones,3272.0,3.2,2024-05-30,10,52,6
iphone 8 plus 256gb silver mq8q2b/a wc01,Mobile Phones,1147.0,3.1,2022-01-02,7,40,8
apple mq8q2b/a 5.5 iphone 8 plus 256gb silver in stock uk spec stock,Mobile Phones,4282.0,2.0,2024-06-15,13,68,8
apple iphone 8 256gb gold,Mobile Phones,3397.0,1.4,2022-09-11,5,25,6
apple iphone 8 4.7 inch 256gb 12mp mobile phone silver,Mobile Phones,2511.0,4.6,2023-03-29,10,54,6
apple iphone 8 256gb gold smartphone,Mobile Phones,1794.0,4.6,2024-11-26,6,36,10
apple iphone 8 256 gb blush gold,Mobile Phones,659.0,3.5,2024-10-11,7,32,6
apple iphone 8 256gb silver,Mobile Phones,2811.0,2.4,2022-01-09,5,27,6
apple iphone 8 smartphone 256gb 4.7 zoll spacegrau,Mobile Phones,1369.0,2.4,2024-03-26,8,50,10
apple iphone 8 gold 4.7 256gb 4g unlocked sim free,Mobile Phones,1986.0,3.9,2022-07-27,10,50,8
apple iphone 8 gold 4.7 256gb 4g unlocked sim free,Mobile Phones,146.0,4.6,2023-02-08,10,50,8
iphone 8 256gb gold,Mobile Phones,3219.0,4.5,2022-06-01,4,19,6
apple iphone 8 256 gb gold,Mobile Phones,2911.0,4.1,2022-02-23,6,26,6
apple iphone 8 256gb space grey,Mobile Phones,1734.0,3.6,2023-09-20,6,31,6
apple iphone 8 256 gb gold,Mobile Phones,1843.0,1.3,2023-08-10,6,26,6
apple iphone 8 256gb space grey,Mobile Phones,488.0,1.6,2022-04-14,6,31,6
apple iphone 8 4.7 single sim 4g 256gb silver,Mobile Phones,2976.0,4.6,2022-09-11,9,45,6
apple iphone 8 4.7 single sim 4g 256gb gold,Mobile Phones,1959.0,3.4,2023-05-25,9,43,6
apple iphone 8 11.9 cm 4.7 256 gb 12 mp ios 11 grey,Mobile Phones,2385.0,1.0,2022-04-09,13,51,6
iphone 8 256gb silver,Mobile Phones,2919.0,1.4,2022-06-02,4,21,6
iphone 8 256gb gold mq7e2b/a wc01,Mobile Phones,1802.0,1.0,2024-05-27,6,33,8
apple mq7e2b/a 4.7 iphone 8 256gb gold in stock uk spec stock,Mobile Phones,4061.0,1.6,2022-12-04,12,61,8
samsung galaxy s7 sm g930f 32gb unlocked smartphone black,Mobile Phones,3369.0,3.2,2024-04-01,9,57,10
samsung galaxy s7 sm g930f 32gb white pearl,Mobile Phones,262.0,3.8,2024-08-14,8,43,7
exdisplay samsung s7 flat black,Mobile Phones,623.0,3.6,2022-06-10,5,31,9
samsung galaxy s7 32gb gold platinum,Mobile Phones,1016.0,1.9,2024-03-11,6,36,8
samsung galaxy s7 flat black onyx 5.1 32gb 4g unlocked sim free,Mobile Phones,3643.0,3.8,2023-02-02,12,63,8
samsung galaxy s7 flat black onyx 5.1 32gb 4g unlocked sim free,Mobile Phones,4976.0,1.9,2024-03-26,12,63,8
samsung galaxy s7 flat black onyx 5.1 32gb 4g unlocked sim free,Mobile Phones,2049.0,2.3,2023-02-05,12,63,8
samsung galaxy s7 sm g930f 32gb 4g white smartphones single sim android nanosim gsm hspa lte,Mobile Phones,3723.0,4.0,2023-10-02,16,92,11
samsung galaxy s7 sm g930f 5.1 single sim 4g 4gb 32gb 3000mah black,Mobile Phones,4548.0,3.6,2024-11-22,13,67,7
samsung galaxy s7 sm g930f 5.1 single sim 4g 4gb 32gb 3000mah black,Mobile Phones,3108.0,4.4,2023-11-19,13,67,7
samsung sm g930fzwabtu galaxy s7 32gb smartphone in white,Mobile Phones,4090.0,3.6,2023-04-05,9,57,11
samsung galaxy s7 32gb gold,Mobile Phones,2056.0,3.3,2024-08-12,5,27,7
samsung galaxy s7,Mobile Phones,3170.0,1.4,2023-04-15,3,17,7
samsung galaxy s7 32gb premium pre owned mobile phone black,Mobile Phones,1682.0,2.5,2024-11-11,10,59,7
samsung galaxy s7 flat 32gb black sm g930fzkabtu wc01,Mobile Phones,2255.0,2.1,2024-01-20,9,53,11
apple iphone 7 plus 128 gb diamant schwarz,Mobile Phones,1154.0,2.0,2022-02-07,8,42,7
apple iphone 7 plus 128gb rose gold,Mobile Phones,4499.0,4.9,2022-08-18,7,35,6
apple iphone 7 plus 128gb silver,Mobile Phones,3191.0,2.6,2023-07-17,6,32,6
apple iphone 7 plus jet black 5.5 128gb 4g unlocked sim free,Mobile Phones,1696.0,4.6,2023-03-14,12,60,8
apple iphone 7 plus jet black 5.5 128gb 4g unlocked sim free,Mobile Phones,3991.0,3.5,2022-01-27,12,60,8
apple iphone 7 plus jet black 5.5 128gb 4g unlocked sim free,Mobile Phones,4723.0,4.2,2022-08-14,12,60,8
apple iphone 7 plus 128gb black,Mobile Phones,4682.0,3.0,2024-03-08,6,31,6
apple iphone 7 plus 128gb black,Mobile Phones,1648.0,3.3,2022-10-11,6,31,6
apple iphone 7 plus 128gb silver,Mobile Phones,1445.0,3.0,2024-05-28,6,32,6
apple iphone 7 plus 128gb gold smartphone,Mobile Phones,4199.0,1.8,2024-08-17,7,41,10
apple iphone 7 plus 5.5 single sim 4g 3gb 128gb 2900mah silver,Mobile Phones,3923.0,3.9,2023-03-29,12,62,7
apple iphone 7 plus 5.5 single sim 4g 3gb 128gb 2900mah gold,Mobile Phones,253.0,2.1,2024-10-16,12,60,7
apple mn4q2b/a iphone 7 plus 128gb 5.5 12mp sim free smartphone in gold,Mobile Phones,3183.0,1.1,2024-03-26,13,71,10
iphone 7 plus 128gb silver,Mobile Phones,2557.0,3.6,2023-10-21,5,26,6
iphone 7 plus 128gb jet black,Mobile Phones,98.0,1.7,2023-07-01,6,29,6
sim free iphone 7 plus 128gb mobile phone black,Mobile Phones,2200.0,4.8,2024-12-08,9,47,6
apple iphone 7 plus 5.5 inch multi touch 128gb wlan wwan bluetooth,Mobile Phones,2961.0,4.8,2022-01-17,12,66,9
iphone 7 plus 128gb rose gold,Mobile Phones,4973.0,4.7,2022-06-07,6,29,6
iphone 7 plus 128gb silver mn4p2b/a wc01,Mobile Phones,4433.0,2.5,2023-04-22,7,40,8
grade c samsung galaxy s8 black 6.2 64gb 4g unlocked sim free,Mobile Phones,3777.0,1.1,2024-12-05,12,61,8
grade c samsung galaxy s8 black 6.2 64gb 4g unlocked sim free,Mobile Phones,2869.0,4.7,2023-06-02,12,61,8
samsung galaxy s8 64gb midnight black unlocked,Mobile Phones,3234.0,2.7,2022-04-09,7,46,8
samsung galaxy s8 g955f 64gb lte midnight black,Mobile Phones,3791.0,4.9,2024-11-26,8,47,8
samsung galaxy s8 64gb orchid grey,Mobile Phones,956.0,4.9,2022-10-07,6,34,7
samsung galaxy s8 plus 64gb smartphone,Mobile Phones,4067.0,4.4,2023-05-12,6,38,10
samsung galaxy s8 artic silver 6.2 64gb 4g unlocked sim free,Mobile Phones,160.0,2.2,2022-10-29,11,60,8
samsung galaxy s8 plus 64gb black,Mobile Phones,4493.0,2.5,2022-06-30,6,33,7
samsung galaxy s8 sm g955f 6.2 single sim 4g 4gb 64gb 3500mah black,Mobile Phones,4911.0,2.3,2023-12-01,13,67,7
samsung galaxy s8 sm g955f 6.2 single sim 4g 4gb 64gb 3500mah grey,Mobile Phones,3987.0,1.7,2024-09-19,13,66,7
samsung mobile galaxy s8 series mobile phone in orchid grey,Mobile Phones,1527.0,3.2,2022-07-10,10,59,7
samsung smg955fziabt galaxy s8 64gb in pink,Mobile Phones,1218.0,4.7,2022-09-10,7,43,12
samsung 64gb silver galaxy s8 sm g955fzsabtu,Mobile Phones,4496.0,3.8,2024-09-07,7,44,11
samsung galaxy s8 orchid grey,Mobile Phones,4735.0,3.3,2024-07-16,5,29,7
15.748 cm 6.2 2960 x 1440 samoled octa core 2.3ghz quad 1.7gh,Mobile Phones,3104.0,1.4,2022-05-08,12,61,7
sim free galaxy s8 plus 64gb by samsung grey,Mobile Phones,2735.0,3.5,2022-01-18,9,44,7
sim free samsung galaxy s8 64gb mobile phone black,Mobile Phones,954.0,1.6,2023-07-24,9,50,7
iphone 6s space grey 128gb 4.7 unlocked sim free,Mobile Phones,4565.0,3.1,2023-11-17,9,48,8
iphone 6s 128gb silver a9 chip with 64 bit retina hd display with 3d,Mobile Phones,3446.0,4.5,2023-09-18,14,68,7
